"Wavelength (nm)"	"Reflectance"
995,5	0,251648
996	0,25228
996,5	0,252947
997	0,253717
997,5	0,254529
998	0,25521
998,5	0,255789
999	0,256365
999,5	0,256984
1000	0,257664
1000,5	0,258417
1001	0,259189
1001,5	0,259875
1002	0,26057
1002,5	0,261344
1003	0,262151
1003,5	0,262894
1004	0,263618
1004,5	0,264364
1005	0,26508
1005,5	0,265712
1006	0,266369
1006,5	0,267083
1007	0,267703
1007,5	0,268338
1008	0,269001
1008,5	0,269623
1009	0,27024
1009,5	0,270826
1010	0,271388
1010,5	0,27197
1011	0,272557
1011,5	0,273054
1012	0,273425
1012,5	0,27377
1013	0,274261
1013,5	0,274839
1014	0,275349
1014,5	0,275776
1015	0,276209
1015,5	0,276789
1016	0,277515
1016,5	0,278091
1017	0,278631
1017,5	0,279164
1018	0,279585
1018,5	0,280209
1019	0,28085
1019,5	0,281347
1020	0,281948
1020,5	0,282584
1021	0,283192
1021,5	0,283696
1022	0,283953
1022,5	0,284397
1023	0,285132
1023,5	0,285865
1024	0,286532
1024,5	0,287081
1025	0,287555
1025,5	0,288092
1026	0,288691
1026,5	0,289227
1027	0,289623
1027,5	0,28998
1028	0,290449
1028,5	0,290815
1029	0,290942
1029,5	0,291257
1030	0,291584
1030,5	0,29209
1031	0,292919
1031,5	0,293029
1032	0,293017
1032,5	0,293245
1033	0,293169
1033,5	0,293353
1034	0,293665
1034,5	0,293856
1035	0,294226
1035,5	0,294599
1036	0,294925
1036,5	0,295325
1037	0,29585
1037,5	0,296371
1038	0,296914
1038,5	0,297601
1039	0,298283
1039,5	0,298658
1040	0,298936
1040,5	0,299601
1041	0,300088
1041,5	0,300387
1042	0,300783
1042,5	0,301306
1043	0,301744
1043,5	0,301842
1044	0,301808
1044,5	0,302374
1045	0,302936
1045,5	0,303228
1046	0,30355
1046,5	0,303904
1047	0,30415
1047,5	0,304278
1048	0,304427
1048,5	0,304636
1049	0,304852
1049,5	0,30505
1050	0,305271
